R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_Stance,R_DOB,SLpM_x,Str_Acc_x,SApM_x,Str_Def_x,TD_Avg_x,TD_Acc_x,TD_Def_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,B_Stance,B_DOB,SLpM_y,Str_Acc_y,SApM_y,Str_Def_y,TD_Avg_y,TD_Acc_y,TD_Def_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms
Jan Blachowicz,Corey Anderson,0,0,20 of 43,84 of 150,46%,56%,33 of 62,156 of 237,1 of 1,4 of 4,100%,100%,1,0,0,0,0:23,10:40,13 of 35,72 of 132,5 of 6,7 of 12,2 of 2,5 of 6,16 of 39,21 of 67,3 of 3,5 of 10,1 of 1,58 of 73,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"September 05, 2015","Las Vegas, Nevada, USA",Light Heavyweight Bout,Corey Anderson,Orthodox,"Feb 24, 1983",3.59,49%,2.79,53%,1.18,53%,65%,0.2,187.96,205.0,198.12,Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,190.5,205.0,200.66
Francisco Rivera,John Lineker,0,1,16 of 36,28 of 60,44%,46%,16 of 36,32 of 64,0 of 1,0 of 0,0%,---,0,1,0,0,0:13,0:19,13 of 33,21 of 47,1 of 1,7 of 13,2 of 2,0 of 0,9 of 19,8 of 22,6 of 16,9 of 17,1 of 1,11 of 21,Submission,1,2:08,3 Rnd (5-5-5),Chris Tognoni,"September 05, 2015","Las Vegas, Nevada, USA",Bantamweight Bout,John Lineker,Orthodox,"Oct 08, 1981",4.07,41%,3.16,68%,1.01,63%,68%,0.6,172.72,135.0,177.8,Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6,160.02,135.0,170.18
Andrei Arlovski,Frank Mir,0,0,39 of 74,24 of 52,52%,46%,70 of 108,54 of 83,0 of 0,1 of 5,---,20%,0,0,0,0,3:32,3:59,22 of 56,16 of 44,9 of 9,8 of 8,8 of 9,0 of 0,28 of 58,10 of 34,11 of 16,8 of 9,0 of 0,6 of 9,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"September 05, 2015","Las Vegas, Nevada, USA",Heavyweight Bout,Andrei Arlovski,Orthodox,"Feb 04, 1979",3.48,44%,2.83,57%,0.47,36%,78%,0.3,190.5,240.0,195.58,Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0,190.5,264.0,200.66
Joe Riggs,Ron Stallings,1,0,35 of 61,24 of 36,57%,66%,47 of 74,32 of 46,2 of 2,0 of 0,100%,---,0,0,0,0,3:59,0:26,31 of 55,18 of 29,2 of 4,2 of 3,2 of 2,4 of 4,15 of 29,17 of 28,0 of 2,4 of 5,20 of 30,3 of 3,DQ,2,2:28,3 Rnd (5-5-5),Jason Herzog,"September 05, 2015","Las Vegas, Nevada, USA",Middleweight Bout,Joe Riggs,Southpaw,"Sep 23, 1982",2.41,51%,1.69,57%,2.45,55%,62%,0.6,182.88,185.0,177.8,Southpaw,"Jan 25, 1983",3.22,60%,3.26,51%,0.0,0%,71%,0.0,187.96,170.0,190.5
Clay Collard,Tiago dos Santos e Silva,1,0,84 of 210,52 of 122,40%,42%,136 of 264,73 of 146,1 of 2,1 of 4,50%,25%,0,1,0,2,2:16,3:37,60 of 178,25 of 85,18 of 24,17 of 26,6 of 8,10 of 11,60 of 174,45 of 109,9 of 12,6 of 12,15 of 24,1 of 1,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,"September 05, 2015","Las Vegas, Nevada, USA",Featherweight Bout,Tiago dos Santos e Silva,Orthodox,"Mar 10, 1993",4.22,32%,5.0,50%,2.81,39%,71%,0.5,180.34,145.0,185.42000000000002,Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3,175.26,145.0,177.8
Maryna Moroz,Valerie Letourneau,0,1,55 of 161,69 of 145,34%,47%,79 of 189,106 of 194,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,6:38,34 of 134,51 of 122,19 of 24,14 of 19,2 of 3,4 of 4,51 of 152,62 of 132,4 of 9,4 of 6,0 of 0,3 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Women's Strawweight Bout,Valerie Letourneau,Orthodox,"Sep 08, 1991",4.09,31%,4.15,53%,0.56,18%,47%,0.4,170.18,125.0,170.18,Orthodox,"Apr 29, 1983",4.51,37%,5.4,58%,0.77,45%,66%,0.3,170.18,115.0,172.72
Max Holloway,Charles Oliveira,0,0,14 of 29,5 of 17,48%,29%,14 of 29,5 of 17,0 of 0,0 of 1,---,0%,0,0,0,0,0:06,0:00,6 of 20,3 of 15,8 of 9,1 of 1,0 of 0,1 of 1,14 of 29,4 of 16,0 of 0,1 of 1,0 of 0,0 of 0,KO/TKO,1,1:39,5 Rnd (5-5-5-5-5),Herb Dean,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Featherweight Bout,Max Holloway,Orthodox,"Dec 04, 1991",7.26,46%,4.58,60%,0.21,71%,84%,0.3,180.34,145.0,175.26,Orthodox,"Oct 17, 1989",3.22,52%,2.94,54%,2.64,44%,57%,2.8,177.8,155.0,187.96
Sam Stout,Frankie Perez,0,1,2 of 16,12 of 15,12%,80%,2 of 16,12 of 15,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:04,1 of 14,8 of 11,0 of 0,2 of 2,1 of 2,2 of 2,2 of 16,6 of 8,0 of 0,0 of 0,0 of 0,6 of 7,KO/TKO,1,0:54,3 Rnd (5-5-5),Herb Dean,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Lightweight Bout,Frankie Perez,Orthodox,"Apr 23, 1984",4.17,28%,4.08,57%,0.63,38%,77%,0.1,175.26,155.0,177.8,Orthodox,"May 11, 1989",1.64,41%,2.17,54%,1.75,41%,50%,0.3,180.34,155.0,185.42000000000002
Chad Laprise,Francisco Trinaldo,0,1,8 of 17,17 of 36,47%,47%,8 of 17,17 of 37,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:38,3 of 12,15 of 34,1 of 1,2 of 2,4 of 4,0 of 0,8 of 17,4 of 15,0 of 0,2 of 2,0 of 0,11 of 19,KO/TKO,1,2:43,3 Rnd (5-5-5),Herb Dean,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Lightweight Bout,Francisco Trinaldo,Orthodox,"Jul 23, 1986",4.78,42%,3.59,65%,1.05,54%,78%,0.0,177.8,170.0,180.34,Southpaw,"Aug 24, 1978",3.11,44%,2.56,60%,1.09,46%,61%,0.6,175.26,155.0,177.8
Yves Jabouin,Felipe Arantes,0,0,5 of 10,4 of 6,50%,66%,18 of 26,8 of 10,2 of 2,0 of 1,100%,0%,0,1,0,1,3:38,0:15,5 of 9,2 of 3,0 of 1,2 of 2,0 of 0,0 of 1,2 of 6,0 of 2,0 of 0,1 of 1,3 of 4,3 of 3,Submission,1,4:21,3 Rnd (5-5-5),Yves Lavigne,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Bantamweight Bout,Felipe Arantes,Orthodox,"May 30, 1979",3.06,41%,2.93,62%,1.94,60%,82%,0.1,170.18,135.0,172.72,Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7,172.72,135.0,185.42000000000002
Neil Magny,Erick Silva,0,0,68 of 131,29 of 59,51%,49%,132 of 204,37 of 68,4 of 9,3 of 4,44%,75%,0,0,0,0,4:05,2:46,59 of 121,10 of 36,6 of 7,5 of 8,3 of 3,14 of 15,46 of 101,27 of 55,7 of 11,2 of 3,15 of 19,0 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Welterweight Bout,Neil Magny,Orthodox,"Aug 03, 1987",3.67,47%,2.05,56%,2.46,45%,57%,0.3,190.5,170.0,203.2,Orthodox,"Jun 21, 1984",2.5,48%,4.18,49%,0.85,35%,56%,1.4,182.88,170.0,187.96
Patrick Cote,Joshua Burkman,1,0,60 of 93,45 of 91,64%,49%,106 of 140,49 of 95,0 of 4,1 of 1,0%,100%,0,0,0,0,2:40,1:00,48 of 70,26 of 66,3 of 10,12 of 14,9 of 13,7 of 11,31 of 63,39 of 84,9 of 10,6 of 7,20 of 20,0 of 0,KO/TKO,3,1:26,3 Rnd (5-5-5),Jerin Valel,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Welterweight Bout,Patrick Cote,Orthodox,"Feb 29, 1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,180.34,170.0,190.5,Orthodox,"Apr 10, 1980",2.69,43%,3.13,51%,2.53,36%,72%,0.3,177.8,170.0,182.88
Olivier Aubin-Mercier,Tony Sims,0,0,3 of 8,23 of 29,37%,79%,76 of 95,46 of 54,6 of 10,0 of 0,60%,---,0,1,0,0,12:06,0:55,0 of 4,22 of 28,1 of 2,0 of 0,2 of 2,1 of 1,3 of 8,3 of 8,0 of 0,0 of 0,0 of 0,20 of 21,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Lightweight Bout,Olivier Aubin-Mercier,Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5,175.26,155.0,177.8,Southpaw,"Oct 14, 1985",1.81,63%,0.76,65%,0.71,50%,50%,0.7,180.34,155.0,177.8
Misha Cirkunov,Daniel Jolly,0,0,24 of 29,6 of 14,82%,42%,62 of 76,10 of 21,3 of 4,0 of 0,75%,---,0,0,0,0,2:55,0:29,20 of 25,1 of 5,4 of 4,4 of 4,0 of 0,1 of 5,6 of 11,5 of 13,1 of 1,1 of 1,17 of 17,0 of 0,KO/TKO,1,4:45,3 Rnd (5-5-5),Jerin Valel,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Light Heavyweight Bout,Misha Cirkunov,Orthodox,"Feb 27, 1987",4.18,51%,3.22,60%,4.28,57%,71%,2.3,190.5,205.0,195.58,Orthodox,"Sep 03, 1984",1.32,46%,3.39,44%,2.83,33%,50%,0.0,185.42000000000002,205.0,190.5
Shane Campbell,Elias Silverio,0,0,44 of 69,22 of 40,63%,55%,73 of 103,50 of 84,2 of 5,2 of 14,40%,14%,0,0,1,0,4:31,6:57,26 of 47,9 of 24,6 of 9,9 of 12,12 of 13,4 of 4,25 of 44,17 of 34,5 of 8,2 of 2,14 of 17,3 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Adam Cheadle,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Lightweight Bout,Shane Campbell,Orthodox,"Jan 21, 1987",3.99,59%,3.19,55%,1.36,28%,82%,0.0,182.88,155.0,180.34,Orthodox,"Sep 22, 1986",3.67,49%,2.97,51%,1.62,38%,85%,0.2,180.34,155.0,185.42000000000002
Marcos Rogerio de Lima,Nikita Krylov,0,0,5 of 10,21 of 29,50%,72%,5 of 10,34 of 46,0 of 0,0 of 1,---,0%,2,1,0,0,0:00,1:58,3 of 8,16 of 23,1 of 1,4 of 5,1 of 1,1 of 1,5 of 10,7 of 13,0 of 0,10 of 11,0 of 0,4 of 5,Submission,1,2:29,3 Rnd (5-5-5),Herb Dean,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Light Heavyweight Bout,Nikita Krylov,Orthodox,"Jun 25, 1985",3.78,54%,2.53,54%,0.71,60%,43%,0.7,185.42000000000002,253.0,190.5,Orthodox,"Mar 07, 1992",4.33,56%,2.52,43%,1.34,33%,55%,1.3,190.5,205.0,195.58
Chris Kelades,Chris Beal,0,0,50 of 109,47 of 113,45%,41%,90 of 165,83 of 149,1 of 9,2 of 4,11%,50%,0,0,0,1,2:40,5:47,33 of 86,42 of 106,14 of 19,5 of 7,3 of 4,0 of 0,39 of 90,25 of 80,5 of 9,8 of 13,6 of 10,14 of 20,Decision - Split,3,5:00,3 Rnd (5-5-5),Adam Cheadle,"August 23, 2015","Saskatoon, Saskatchewan, Canada",Flyweight Bout,Chris Kelades,Orthodox,"Feb 21, 1981",2.4,43%,2.64,48%,1.04,18%,53%,0.3,170.18,125.0,172.72,Orthodox,"Aug 06, 1985",3.45,35%,3.18,61%,1.6,58%,78%,0.2,170.18,125.0,175.26
Derek Brunson,Sam Alvey,0,0,27 of 45,4 of 11,60%,36%,53 of 71,6 of 13,0 of 1,0 of 0,0%,---,0,0,0,0,1:32,0:00,26 of 44,2 of 9,1 of 1,2 of 2,0 of 0,0 of 0,7 of 14,2 of 6,19 of 29,2 of 5,1 of 2,0 of 0,KO/TKO,1,2:19,3 Rnd (5-5-5),Mario Yamasaki,"August 08, 2015","Nashville, Tennessee, USA",Middleweight Bout,Derek Brunson,Southpaw,"Jan 04, 1984",3.46,47%,2.72,53%,3.11,33%,94%,0.5,185.42000000000002,185.0,195.58,Southpaw,"May 06, 1986",3.17,44%,3.26,55%,0.08,16%,82%,0.1,187.96,205.0,190.5
Sara McMann,Amanda Nunes,0,1,2 of 16,27 of 39,12%,69%,4 of 18,36 of 53,0 of 2,0 of 0,0%,---,0,1,0,0,0:06,0:43,1 of 13,24 of 33,0 of 1,2 of 5,1 of 2,1 of 1,2 of 15,11 of 18,0 of 1,1 of 2,0 of 0,15 of 19,Submission,1,2:53,3 Rnd (5-5-5),John McCarthy,"August 08, 2015","Nashville, Tennessee, USA",Women's Bantamweight Bout,Amanda Nunes,Orthodox,"Sep 24, 1980",2.32,45%,1.94,48%,4.41,65%,50%,0.5,167.64000000000001,135.0,167.64000000000001,Orthodox,"May 30, 1988",4.5,51%,2.45,57%,2.5,53%,84%,0.9,172.72,145.0,175.26
Jared Rosholt,Timothy Johnson,0,0,19 of 34,26 of 57,55%,45%,53 of 70,86 of 126,2 of 5,3 of 4,40%,75%,1,0,0,0,2:25,8:44,16 of 31,20 of 50,3 of 3,6 of 7,0 of 0,0 of 0,4 of 14,10 of 30,7 of 11,14 of 24,8 of 9,2 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"August 08, 2015","Nashville, Tennessee, USA",Heavyweight Bout,Jared Rosholt,Orthodox,"Aug 04, 1986",2.08,46%,1.52,59%,1.83,41%,66%,0.1,187.96,265.0,190.5,Southpaw,"Mar 13, 1985",3.43,45%,3.08,44%,1.09,24%,69%,0.0,190.5,265.0,195.58
Michael Johnson,Beneil Dariush,0,0,84 of 222,75 of 201,37%,37%,85 of 223,75 of 201,0 of 0,0 of 7,---,0%,0,0,0,0,0:00,0:00,32 of 133,52 of 169,49 of 85,12 of 21,3 of 4,11 of 11,83 of 221,75 of 199,1 of 1,0 of 2,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,"August 08, 2015","Nashville, Tennessee, USA",Lightweight Bout,Beneil Dariush,Southpaw,"Jun 04, 1986",4.21,38%,3.82,58%,0.49,45%,77%,0.1,177.8,155.0,185.42000000000002,Southpaw,"May 06, 1989",4.0,49%,2.72,59%,2.03,32%,81%,1.0,177.8,155.0,182.88
Uriah Hall,Oluwale Bamgbose,0,0,11 of 18,7 of 12,61%,58%,20 of 27,23 of 29,1 of 1,0 of 0,100%,---,0,0,0,0,1:36,0:00,11 of 18,1 of 6,0 of 0,2 of 2,0 of 0,4 of 4,0 of 3,7 of 11,0 of 0,0 of 0,11 of 15,0 of 1,KO/TKO,1,2:32,3 Rnd (5-5-5),Herb Dean,"August 08, 2015","Nashville, Tennessee, USA",Middleweight Bout,Uriah Hall,Orthodox,"Jul 31, 1984",3.34,51%,3.54,53%,0.67,38%,69%,0.2,182.88,185.0,200.66,Switch,"Aug 04, 1987",2.45,48%,2.7,55%,0.94,33%,37%,0.0,180.34,185.0,198.12
Glover Teixeira,Ovince Saint Preux,0,0,53 of 79,30 of 54,67%,55%,128 of 162,36 of 61,5 of 9,0 of 3,55%,0%,1,0,0,1,8:48,1:26,48 of 72,18 of 40,5 of 7,12 of 14,0 of 0,0 of 0,11 of 22,19 of 35,4 of 6,9 of 16,38 of 51,2 of 3,Submission,3,3:10,5 Rnd (5-5-5-5-5),John McCarthy,"August 08, 2015","Nashville, Tennessee, USA",Light Heavyweight Bout,Glover Teixeira,Orthodox,"Oct 28, 1979",3.75,47%,3.84,54%,2.04,40%,60%,1.0,187.96,205.0,193.04,Southpaw,"Apr 08, 1983",2.68,46%,3.03,45%,1.19,40%,66%,0.6,190.5,205.0,203.2
Ray Borg,Geane Herrera,0,0,26 of 53,7 of 13,49%,53%,85 of 115,24 of 33,3 of 3,0 of 0,100%,---,2,0,0,1,13:55,0:15,22 of 48,6 of 12,4 of 5,1 of 1,0 of 0,0 of 0,0 of 7,2 of 7,0 of 0,0 of 0,26 of 46,5 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"August 08, 2015","Nashville, Tennessee, USA",Flyweight Bout,Ray Borg,Orthodox,"Aug 04, 1993",1.52,52%,1.93,48%,3.89,50%,46%,1.0,162.56,135.0,160.02,Orthodox,"May 27, 1990",1.51,31%,5.07,52%,0.83,37%,38%,0.6,165.1,125.0,167.64000000000001
Chris Camozzi,Tom Watson,0,0,87 of 146,82 of 140,59%,58%,112 of 174,104 of 164,3 of 4,1 of 8,75%,12%,2,0,0,0,4:24,1:48,65 of 117,31 of 79,14 of 20,29 of 37,8 of 9,22 of 24,69 of 121,58 of 105,18 of 25,24 of 35,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"August 08, 2015","Nashville, Tennessee, USA",Middleweight Bout,Chris Camozzi,Orthodox,"Nov 20, 1986",3.57,44%,2.96,56%,0.27,19%,57%,0.5,187.96,185.0,190.5,Orthodox,"Jul 13, 1982",4.01,44%,4.41,50%,0.15,7%,43%,0.0,185.42000000000002,185.0,185.42000000000002
Dustin Ortiz,Willie Gates,0,0,92 of 129,13 of 32,71%,40%,171 of 216,24 of 43,4 of 13,0 of 0,30%,---,1,0,0,0,10:47,0:00,75 of 109,5 of 19,13 of 16,7 of 12,4 of 4,1 of 1,6 of 27,10 of 27,13 of 16,3 of 5,73 of 86,0 of 0,KO/TKO,3,2:58,3 Rnd (5-5-5),Mario Yamasaki,"August 08, 2015","Nashville, Tennessee, USA",Flyweight Bout,Dustin Ortiz,Orthodox,"Dec 25, 1988",2.94,44%,2.17,56%,3.01,36%,52%,0.1,165.1,125.0,165.1,Orthodox,"Jan 21, 1987",1.8,38%,4.28,38%,0.0,0%,67%,0.4,172.72,125.0,182.88
Chris Dempsey,Jonathan Wilson,0,1,0 of 4,4 of 8,0%,50%,1 of 5,4 of 8,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:13,0 of 3,4 of 8,0 of 1,0 of 0,0 of 0,0 of 0,0 of 3,2 of 6,0 of 1,0 of 0,0 of 0,2 of 2,KO/TKO,1,0:50,3 Rnd (5-5-5),John McCarthy,"August 08, 2015","Nashville, Tennessee, USA",Light Heavyweight Bout,Jonathan Wilson,Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0,177.8,185.0,182.88,Southpaw,"Jul 17, 1987",2.92,48%,5.65,56%,0.37,100%,80%,0.0,187.96,205.0,190.5
Demian Maia,Neil Magny,0,0,13 of 17,0 of 4,76%,0%,56 of 68,11 of 16,2 of 2,0 of 0,100%,---,1,0,0,0,7:27,0:02,13 of 17,0 of 4,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,13 of 17,0 of 0,Submission,2,2:52,3 Rnd (5-5-5),Herb Dean,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Demian Maia,Southpaw,"Nov 06, 1977",1.82,43%,2.03,63%,2.55,26%,61%,1.0,185.42000000000002,170.0,182.88,Orthodox,"Aug 03, 1987",3.67,47%,2.05,56%,2.46,45%,57%,0.3,190.5,170.0,203.2
Ronda Rousey,Bethe Correia,1,0,19 of 32,9 of 14,59%,64%,19 of 32,9 of 14,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,17 of 30,9 of 14,2 of 2,0 of 0,0 of 0,0 of 0,5 of 11,3 of 6,14 of 21,6 of 8,0 of 0,0 of 0,KO/TKO,1,0:34,5 Rnd (5-5-5-5-5),John McCarthy,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",UFC Women's Bantamweight Title Bout,Ronda Rousey,Orthodox,"Feb 01, 1987",4.17,52%,4.14,44%,6.26,68%,50%,4.8,170.18,135.0,167.64000000000001,Orthodox,"Jun 22, 1983",4.39,44%,4.56,58%,0.44,20%,84%,0.0,165.1,135.0,162.56
Stefan Struve,Antonio Rodrigo Nogueira,0,0,93 of 156,59 of 113,59%,52%,94 of 157,84 of 138,0 of 0,1 of 14,---,7%,0,0,0,0,0:38,5:22,43 of 102,43 of 95,32 of 36,13 of 15,18 of 18,3 of 3,87 of 149,43 of 93,6 of 7,16 of 20,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Heavyweight Bout,Stefan Struve,Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7,210.82,265.0,213.36,Orthodox,"Jun 02, 1976",1.95,42%,2.4,55%,1.3,29%,36%,2.4,190.5,240.0,195.58
Antonio Silva,Soa Palelei,1,0,16 of 28,19 of 35,57%,54%,29 of 43,46 of 65,0 of 1,1 of 3,0%,33%,0,0,0,0,1:30,2:39,10 of 22,15 of 30,4 of 4,4 of 5,2 of 2,0 of 0,5 of 13,5 of 11,10 of 13,0 of 0,1 of 2,14 of 24,KO/TKO,2,0:41,3 Rnd (5-5-5),John McCarthy,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Heavyweight Bout,Antonio Silva,Orthodox,"Sep 14, 1979",2.89,45%,3.09,50%,0.82,29%,66%,0.8,193.04,264.0,208.28,Orthodox,"Jul 12, 1977",2.47,57%,2.68,48%,2.2,47%,66%,0.0,193.04,265.0,205.74
Claudia Gadelha,Jessica Aguilar,0,0,111 of 248,70 of 189,44%,37%,121 of 263,88 of 210,4 of 4,0 of 3,100%,0%,0,0,0,0,2:36,0:47,95 of 229,35 of 152,16 of 19,11 of 13,0 of 0,24 of 24,101 of 233,63 of 180,9 of 14,7 of 9,1 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Women's Strawweight Bout,Claudia Gadelha,Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7,162.56,115.0,160.02,Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2,160.02,115.0,160.02
Mauricio Rua,Rogerio Nogueira,0,0,53 of 98,63 of 166,54%,37%,82 of 130,73 of 177,2 of 5,0 of 0,40%,---,0,1,0,0,4:19,0:13,30 of 74,55 of 156,15 of 16,6 of 8,8 of 8,2 of 2,47 of 84,48 of 135,2 of 8,15 of 31,4 of 6,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Light Heavyweight Bout,Mauricio Rua,Orthodox,"Nov 25, 1981",3.57,50%,2.71,54%,2.12,48%,47%,0.8,185.42000000000002,205.0,193.04,Southpaw,"Jun 02, 1976",2.43,35%,2.34,59%,0.64,44%,62%,0.8,187.96,205.0,190.5
Rafael Cavalcante,Patrick Cummins,0,0,23 of 45,49 of 92,51%,53%,24 of 47,102 of 162,0 of 0,8 of 14,---,57%,0,0,0,0,0:03,7:10,20 of 42,37 of 77,1 of 1,6 of 7,2 of 2,6 of 8,15 of 34,18 of 49,1 of 3,7 of 10,7 of 8,24 of 33,KO/TKO,3,0:45,3 Rnd (5-5-5),Mario Yamasaki,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Light Heavyweight Bout,Patrick Cummins,Orthodox,"Apr 14, 1980",2.71,53%,3.62,49%,0.6,40%,63%,0.1,185.42000000000002,205.0,187.96,Orthodox,"Nov 16, 1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1,187.96,205.0,193.04
Iuri Alcantara,Leandro Issa,0,0,53 of 101,26 of 55,52%,47%,65 of 114,37 of 70,0 of 0,1 of 10,---,10%,0,0,0,0,2:11,5:26,42 of 86,21 of 40,10 of 13,2 of 3,1 of 2,3 of 12,31 of 65,13 of 32,8 of 16,0 of 0,14 of 20,13 of 23,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Bantamweight Bout,Iuri Alcantara,Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8,175.26,135.0,180.34,Orthodox,"Sep 19, 1983",2.08,37%,3.17,58%,2.38,22%,50%,1.2,170.18,135.0,175.26
Warlley Alves,Nordine Taleb,0,0,17 of 38,17 of 34,44%,50%,23 of 46,30 of 47,2 of 3,0 of 2,66%,0%,1,0,0,0,4:18,1:05,9 of 29,8 of 23,4 of 5,5 of 6,4 of 4,4 of 5,12 of 31,13 of 28,3 of 3,4 of 6,2 of 4,0 of 0,Submission,2,4:11,3 Rnd (5-5-5),John McCarthy,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Warlley Alves,Orthodox,"Jan 04, 1991",3.09,47%,3.62,50%,1.48,54%,75%,1.0,180.34,170.0,182.88,Orthodox,"Jun 10, 1981",3.66,51%,2.62,66%,1.94,76%,73%,0.0,185.42000000000002,170.0,187.96
Vitor Miranda,Clint Hester,0,0,57 of 75,15 of 34,76%,44%,95 of 114,20 of 39,1 of 1,1 of 5,100%,20%,0,0,0,0,3:25,3:00,52 of 66,11 of 30,1 of 4,3 of 3,4 of 5,1 of 1,7 of 14,9 of 25,1 of 2,0 of 1,49 of 59,6 of 8,KO/TKO,2,2:38,3 Rnd (5-5-5),Herb Dean,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Vitor Miranda,Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,0.95,55%,50%,0.2,185.42000000000002,185.0,195.58,Orthodox,"Nov 21, 1986",3.36,42%,3.44,56%,1.02,35%,60%,0.0,187.96,205.0,195.58
Hugo Viana,Guido Cannetti,0,0,13 of 38,32 of 51,34%,62%,42 of 68,47 of 67,1 of 15,4 of 7,6%,57%,0,0,0,0,6:02,3:57,9 of 27,13 of 28,3 of 7,17 of 19,1 of 4,2 of 4,4 of 21,15 of 27,2 of 5,13 of 16,7 of 12,4 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",Bantamweight Bout,Guido Cannetti,Orthodox,"Sep 26, 1982",3.05,38%,3.2,57%,0.22,6%,50%,0.0,167.64000000000001,135.0,170.18,Southpaw,"Dec 19, 1979",2.85,51%,2.17,50%,2.64,50%,75%,0.3,167.64000000000001,135.0,172.72
